trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
5,4,collect_one_size11_comp0.0_grid4_base_low,11,0.0,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,0,0,0,0,-1,-1,0,64,0.0,0.328125,0.328125,0.0,0.0,29,5,15,15,16,15,18,14,54,12,0,22,0.34375
6,4,collect_one_size11_comp0.0_grid4_base_low,11,0.0,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,0,0,0,0,-1,-1,0,64,0.0,0.375,0.375,0.0,0.0,22,7,16,19,14,10,23,16,55,14,0,14,0.21875
7,4,collect_one_size11_comp0.0_grid4_base_low,11,0.0,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,0,2,1,1,28,40,0,64,0.0,0.53125,0.4827586206896552,0.5714285714285714,0.0,21,21,10,12,21,14,9,19,36,18,0,6,0.09375
8,4,collect_one_size11_comp0.0_grid4_base_low,11,0.0,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,0,1,0,1,-1,58,0,64,0.0,0.453125,0.4915254237288136,0.0,0.0,18,13,18,15,14,16,14,19,45,18,1,5,0.078125
9,4,collect_one_size11_comp0.0_grid4_base_low,11,0.0,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,0,0,0,0,-1,-1,0,64,0.0,0.40625,0.40625,0.0,0.0,26,13,12,13,18,15,17,13,48,11,0,11,0.171875
0,5,collect_one_size11_comp0.0_grid5_base_low,11,0.0,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,0,2,1,1,13,21,0,64,0.0,0.5,0.7142857142857143,0.44,0.0,22,16,10,16,23,9,17,14,35,14,1,2,0.03125
1,5,collect_one_size11_comp0.0_grid5_base_low,11,0.0,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,1,0,0,0,-1,-1,0,22,0.0,0.5454545454545454,0.5454545454545454,0.0,0.0,7,7,3,5,5,6,6,4,12,3,0,1,0.045454545454545456
2,5,collect_one_size11_comp0.0_grid5_base_low,11,0.0,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,1,0,0,0,-1,-1,0,12,0.0,0.5833333333333334,0.5833333333333334,0.0,0.0,2,2,3,5,1,2,4,4,6,3,0,1,0.08333333333333333
3,5,collect_one_size11_comp0.0_grid5_base_low,11,0.0,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,1,0,0,0,-1,-1,0,30,0.0,0.5333333333333333,0.5333333333333333,0.0,0.0,6,5,9,10,6,7,8,8,21,7,0,1,0.03333333333333333
4,5,collect_one_size11_comp0.0_grid5_base_low,11,0.0,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,1,0,0,0,-1,-1,0,35,0.0,0.4857142857142857,0.4857142857142857,0.0,0.0,10,9,9,7,10,11,11,2,21,2,0,4,0.11428571428571428
5,5,collect_one_size11_comp0.0_grid5_base_low,11,0.0,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,1,0,0,0,-1,-1,0,19,0.0,0.47368421052631576,0.47368421052631576,0.0,0.0,5,5,5,4,7,4,3,4,7,2,0,4,0.21052631578947367
6,5,collect_one_size11_comp0.0_grid5_base_low,11,0.0,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,1,0,0,0,-1,-1,0,15,0.0,0.6,0.6,0.0,0.0,5,4,2,4,3,1,4,6,7,6,0,0,0.0
7,5,collect_one_size11_comp0.0_grid5_base_low,11,0.0,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,1,0,0,0,-1,-1,0,3,0.0,1.0,1.0,0.0,0.0,1,0,0,2,0,1,1,0,0,0,0,0,0.0
8,5,collect_one_size11_comp0.0_grid5_base_low,11,0.0,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,0,2,1,1,54,62,0,64,0.0,0.5,0.5272727272727272,0.3333333333333333,0.0,19,12,17,16,17,15,15,16,43,15,1,4,0.0625
9,5,collect_one_size11_comp0.0_grid5_base_low,11,0.0,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,1,0,0,0,-1,-1,0,17,0.0,0.5882352941176471,0.5882352941176471,0.0,0.0,4,3,4,6,4,1,5,6,6,6,0,0,0.0
0,6,collect_one_size11_comp0.0_grid6_base_low,11,0.0,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,0,1,1,0,6,-1,0,64,0.0,0.484375,0.7142857142857143,0.45614035087719296,0.0,15,19,15,15,21,16,12,14,39,12,0,3,0.046875
1,6,collect_one_size11_comp0.0_grid6_base_low,11,0.0,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,1,2,1,1,12,32,1,64,0.203125,0.53125,0.6153846153846154,0.5098039215686274,0.0,25,13,15,9,17,10,13,19,32,18,1,7,0.109375
2,6,collect_one_size11_comp0.0_grid6_base_low,11,0.0,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,0,1,1,0,6,-1,0,64,0.0,0.515625,0.7142857142857143,0.49122807017543857,0.0,14,17,18,15,13,14,12,24,49,22,14,2,0.03125
3,6,collect_one_size11_comp0.0_grid6_base_low,11,0.0,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,0,1,1,0,14,-1,0,64,0.0,0.5,0.6,0.46938775510204084,0.0,15,19,16,14,16,13,14,20,46,20,5,3,0.046875
4,6,collect_one_size11_comp0.0_grid6_base_low,11,0.0,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,0,1,1,0,7,-1,0,64,0.0,0.484375,0.625,0.4642857142857143,0.0,20,27,10,7,17,10,13,23,52,23,8,5,0.078125
5,6,collect_one_size11_comp0.0_grid6_base_low,11,0.0,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,0,1,1,0,2,-1,0,64,0.0,0.453125,1.0,0.4262295081967213,0.0,11,19,17,17,20,13,13,17,47,15,12,7,0.109375
6,6,collect_one_size11_comp0.0_grid6_base_low,11,0.0,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,0,1,1,0,8,-1,0,64,0.0,0.515625,0.6666666666666666,0.4909090909090909,0.0,16,18,16,14,9,14,18,22,46,22,7,0,0.0
7,6,collect_one_size11_comp0.0_grid6_base_low,11,0.0,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,1,2,1,1,20,28,1,57,0.22807017543859648,0.5263157894736842,0.5714285714285714,0.5,0.0,24,10,14,8,15,13,10,16,31,16,1,9,0.15789473684210525
8,6,collect_one_size11_comp0.0_grid6_base_low,11,0.0,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,0,2,1,1,7,52,0,64,0.0,0.5,0.625,0.48214285714285715,0.0,24,15,13,12,19,11,14,19,40,18,2,7,0.109375
9,6,collect_one_size11_comp0.0_grid6_base_low,11,0.0,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,0,1,0,1,-1,4,0,64,0.0,0.453125,1.0,0.4067796610169492,0.0,28,15,8,13,14,16,8,25,52,18,0,12,0.1875
0,7,collect_one_size11_comp0.0_grid7_base_low,11,0.0,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,1,1,0,1,-1,5,1,53,0.20754716981132076,0.6037735849056604,0.8333333333333334,0.574468085106383,0.0,15,14,9,15,8,15,12,17,35,17,5,0,0.0
1,7,collect_one_size11_comp0.0_grid7_base_low,11,0.0,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,1,2,1,1,6,9,1,25,0.44,0.76,0.7142857142857143,0.7777777777777778,0.0,7,6,3,9,8,4,8,4,7,4,2,0,0.0
2,7,collect_one_size11_comp0.0_grid7_base_low,11,0.0,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,0,0,0,0,-1,-1,0,64,0.0,0.375,0.375,0.0,0.0,26,16,8,14,13,15,16,19,39,18,0,6,0.09375
3,7,collect_one_size11_comp0.0_grid7_base_low,11,0.0,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,0,1,0,1,-1,3,0,64,0.0,0.53125,1.0,0.5,0.0,24,17,8,15,14,15,14,20,37,19,5,3,0.046875
4,7,collect_one_size11_comp0.0_grid7_base_low,11,0.0,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,0,1,0,1,-1,3,0,64,0.0,0.46875,1.0,0.43333333333333335,0.0,29,14,7,14,16,11,23,13,34,10,1,12,0.1875
5,7,collect_one_size11_comp0.0_grid7_base_low,11,0.0,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,1,2,1,1,8,3,1,25,0.44,0.72,1.0,0.6666666666666666,0.0,8,7,2,8,6,3,7,8,11,8,9,0,0.0
6,7,collect_one_size11_comp0.0_grid7_base_low,11,0.0,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,1,2,1,1,18,15,1,61,0.18032786885245902,0.5901639344262295,0.625,0.5777777777777777,0.0,21,20,7,13,15,13,12,20,34,20,4,0,0.0
7,7,collect_one_size11_comp0.0_grid7_base_low,11,0.0,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,0,2,1,1,14,3,0,64,0.0,0.546875,1.0,0.5166666666666667,0.0,19,20,11,14,13,7,24,19,41,19,11,0,0.0
8,7,collect_one_size11_comp0.0_grid7_base_low,11,0.0,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,0,0,0,0,-1,-1,0,64,0.0,0.40625,0.40625,0.0,0.0,26,19,7,12,20,15,10,18,44,16,0,3,0.046875
9,7,collect_one_size11_comp0.0_grid7_base_low,11,0.0,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,1,2,1,1,2,7,1,35,0.3142857142857143,0.6857142857142857,1.0,0.65625,0.0,10,9,5,11,10,11,4,9,17,9,6,0,0.0
0,8,collect_one_size11_comp0.0_grid8_base_low,11,0.0,low,base,base,collect_one,7,4,7,7,9,6,10,1,1,1,1,1,1,1,0,1,-1,21,1,28,0.35714285714285715,0.6071428571428571,0.5,1.0,0.0,5,5,8,10,6,8,7,6,12,5,0,4,0.14285714285714285
1,8,collect_one_size11_comp0.0_grid8_base_low,11,0.0,low,base,base,collect_one,7,4,7,7,9,6,10,1,1,1,1,1,0,2,1,1,38,59,0,64,0.0,0.546875,0.48717948717948717,0.64,0.0,13,11,21,19,20,17,12,14,38,12,4,8,0.125
2,8,collect_one_size11_comp0.0_grid8_base_low,11,0.0,low,base,base,collect_one,7,4,7,7,9,6,10,1,1,1,1,1,1,1,0,1,-1,5,1,54,0.18518518518518517,0.5740740740740741,0.8333333333333334,0.5416666666666666,0.0,17,17,6,14,18,6,15,14,24,14,0,2,0.037037037037037035
3,8,collect_one_size11_comp0.0_grid8_base_low,11,0.0,low,base,base,collect_one,7,4,7,7,9,6,10,1,1,1,1,1,1,1,0,1,-1,20,1,54,0.18518518518518517,0.5370370370370371,0.5238095238095238,0.5454545454545454,0.0,15,12,12,15,15,17,10,11,31,11,1,6,0.1111111111111111
4,8,collect_one_size11_comp0.0_grid8_base_low,11,0.0,low,base,base,collect_one,7,4,7,7,9,6,10,1,1,1,1,1,1,1,0,1,-1,5,1,12,0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0,0.0,3,3,0,6,3,4,3,1,1,1,0,0,0.0
5,8,collect_one_size11_comp0.0_grid8_base_low,11,0.0,low,base,base,collect_one,7,4,7,7,9,6,10,1,1,1,1,1,1,1,0,1,-1,13,1,24,0.4166666666666667,0.7083333333333334,0.6428571428571429,0.8,0.0,5,5,4,10,8,2,8,5,8,5,0,0,0.0
