grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,num_trajectories,num_trajectories_0_coins,num_trajectories_1_coin,num_trajectories_2_coins,mean_coins_collected,success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_action_accuracy_phase3,spl,mean_entropy,mean_optimal_entropy,mean_jsd,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
collect_all_size7_comp0.0_grid2_base_medium,7,0.0,2,medium,base,base,collect_all,3,6,3,3,4,3,9,1,1,1,1,1,10,0,0,10,2.0,1.0,11.7,0.8632478632478633,0.875,0.9375,0.8,0.8048863636363637,0.757535586862365,0.6666666666666666,0.33352608435300557,0.23547008547008544,0.8632478632478633,117,4.5,2.2,3.9,0.9,3.8,3.0,2.5,1.0,2.1,0.9,1.4,0.3
collect_all_size7_comp0.0_grid3_base_medium,7,0.0,3,medium,base,base,collect_all,4,4,6,6,3,3,13,1,1,1,1,1,10,0,2,8,1.8,0.8,14.8,0.8851351351351351,0.9761904761904762,0.8289473684210527,0.9,0.6760027519779841,0.8809076780072758,0.631578947368421,0.3696738358238964,0.19736535394430127,0.8851351351351351,148,4.7,3.7,4.1,2.0,4.8,2.3,4.2,1.9,3.1,1.9,1.1,0.1
collect_all_size7_comp0.0_grid4_base_medium,7,0.0,4,medium,base,base,collect_all,5,3,4,4,5,5,12,1,1,1,1,1,10,0,0,10,2.0,1.0,14.5,0.896551724137931,0.9090909090909091,0.9333333333333333,0.8656716417910447,0.8546886446886447,0.7750246764108077,0.7,0.344983164543177,0.24808954933954935,0.896551724137931,145,4.5,2.7,4.6,2.6,3.6,4.8,3.3,1.6,2.2,1.5,0.5,0.4
collect_all_size7_comp0.0_grid5_base_medium,7,0.0,5,medium,base,base,collect_all,3,4,3,3,6,3,9,1,1,1,1,1,10,0,0,10,2.0,1.0,9.8,0.9489795918367347,0.9166666666666666,1.0,0.9375,0.9254545454545454,0.4279102532294091,0.6923076923076923,0.2903315847213283,0.07173659673659676,0.9489795918367347,98,0.3,3.4,2.0,4.0,3.4,3.0,1.8,0.4,0.7,0.4,0.4,0.1
collect_all_size7_comp0.0_grid6_base_medium,7,0.0,6,medium,base,base,collect_all,4,5,3,3,5,4,11,1,1,1,1,1,10,0,0,10,2.0,1.0,13.3,0.8872180451127819,0.9545454545454546,0.8888888888888888,0.8301886792452831,0.8478926955397543,0.8695179055834624,0.7058823529411765,0.3533942176159397,0.19823020117137766,0.8872180451127819,133,4.9,1.3,4.5,2.5,3.6,3.8,3.2,1.5,2.1,1.4,0.6,0.6
collect_all_size7_comp0.0_grid7_base_medium,7,0.0,7,medium,base,base,collect_all,7,5,4,4,3,3,12,1,1,1,1,1,10,0,0,10,2.0,1.0,13.5,0.9333333333333333,0.9166666666666666,0.9302325581395349,0.96875,0.9014285714285715,0.6575284485612866,0.6111111111111112,0.3705943550252273,0.14946149529482866,0.9333333333333333,135,1.2,4.2,4.3,3.5,5.6,1.6,3.5,1.2,1.7,1.2,0.8,0.2
collect_all_size7_comp0.0_grid8_base_medium,7,0.0,8,medium,base,base,collect_all,4,3,5,5,3,4,11,1,1,1,1,1,10,0,0,10,2.0,1.0,11.7,0.9487179487179487,0.8823529411764706,1.0,0.9393939393939394,0.9442307692307692,0.5511747658992149,0.625,0.3283669426651795,0.22982390873015873,0.9487179487179487,117,2.1,4.1,2.4,3.0,3.5,2.2,4.0,0.8,1.4,0.8,0.8,0.4
collect_all_size7_comp0.0_grid9_base_medium,7,0.0,9,medium,base,base,collect_all,3,3,6,6,3,3,12,1,1,1,1,1,10,0,0,10,2.0,1.0,13.0,0.9384615384615385,0.967741935483871,0.9230769230769231,0.9411764705882353,0.9310439560439561,1.0709751116893542,0.6,0.29839346267866707,0.32391402714932127,0.9384615384615385,130,4.8,3.0,1.6,3.4,5.3,3.4,2.0,0.9,3.1,0.8,0.8,0.4
collect_all_size7_comp0.2_grid0_base_medium,7,0.2,0,medium,base,base,collect_all,3,3,6,6,5,5,14,1,1,1,1,1,10,0,0,10,2.0,1.0,16.5,0.9030303030303031,0.9411764705882353,0.9402985074626866,0.84375,0.8581286549707603,0.8696712935870113,0.41681477279283236,0.1941800137306669,0.1178350059031877,0.9030303030303031,165,0.9,5.2,4.0,6.2,7.2,3.2,3.0,1.7,4.2,1.7,1.6,0.5
collect_all_size7_comp0.2_grid1_base_medium,7,0.2,1,medium,base,base,collect_all,3,4,3,3,6,3,9,1,1,1,1,1,10,0,0,10,2.0,1.0,12.4,0.8951612903225806,0.8780487804878049,0.8918918918918919,0.9130434782608695,0.7596203796203796,0.931801213549635,0.42857142857142855,0.3717729240162116,0.30098235098235093,0.8951612903225806,124,5.4,2.1,2.4,2.4,5.6,3.3,1.3,1.0,2.9,1.0,1.0,0.7
collect_all_size7_comp0.2_grid2_base_medium,7,0.2,2,medium,base,base,collect_all,4,3,3,3,4,5,10,1,1,1,1,1,10,0,0,10,2.0,1.0,12.7,0.8740157480314961,0.875,0.9117647058823529,0.8490566037735849,0.8249582718622965,0.7848453300715643,0.6111111111111112,0.28532497877879703,0.10087011753678418,0.8740157480314961,127,1.9,4.0,2.2,4.3,3.5,3.3,2.4,1.9,2.6,1.9,0.9,0.2
collect_all_size7_comp0.2_grid3_base_medium,7,0.2,3,medium,base,base,collect_all,3,4,3,3,4,5,11,1,1,1,1,1,10,0,0,10,2.0,1.0,12.6,0.9206349206349206,1.0,0.85,0.9215686274509803,0.9014661654135339,0.9288588423896027,0.5,0.25367431402671853,0.19459298871063574,0.9206349206349206,126,3.5,2.6,2.1,4.2,4.4,3.5,2.1,1.3,3.0,1.3,1.1,0.2
collect_all_size7_comp0.2_grid4_base_medium,7,0.2,4,medium,base,base,collect_all,3,6,3,3,5,4,10,1,1,1,1,1,10,0,0,10,2.0,1.0,13.2,0.8257575757575758,0.9411764705882353,0.8181818181818182,0.7592592592592593,0.8077884104199894,0.6719724847128316,0.5333333333333333,0.2866883233720312,0.13382413882413882,0.8257575757575758,132,5.4,0.3,4.6,2.6,5.3,3.1,2.3,0.9,2.9,0.9,0.9,1.1
collect_all_size7_comp0.2_grid5_base_medium,7,0.2,5,medium,base,base,collect_all,3,5,6,6,3,7,14,1,1,1,1,1,10,0,0,10,2.0,1.0,20.3,0.8620689655172413,0.8863636363636364,0.8043478260869565,0.9253731343283582,0.7082347155768208,0.9113289460670011,0.5,0.3021153562310065,0.2533730158730159,0.8620689655172413,203,6.9,4.0,6.3,2.9,6.2,5.1,4.7,2.9,5.5,2.6,2.2,0.7
collect_all_size7_comp0.2_grid6_base_medium,7,0.2,6,medium,base,base,collect_all,5,3,6,6,3,5,12,1,1,1,1,1,10,0,0,10,2.0,1.0,15.0,0.8733333333333333,0.8809523809523809,0.8493150684931506,0.9142857142857143,0.8187362637362637,0.642542267783245,0.4444444444444444,0.36818393380030295,0.16678290844957508,0.8733333333333333,150,4.7,2.5,2.9,4.6,6.7,2.0,3.6,1.1,2.7,1.0,0.6,0.9
collect_all_size7_comp0.2_grid7_base_medium,7,0.2,7,medium,base,base,collect_all,3,7,4,4,5,5,12,1,1,1,1,1,10,0,0,10,2.0,1.0,14.3,0.8881118881118881,0.9375,0.9130434782608695,0.8461538461538461,0.8460439560439561,0.5287242831963428,0.5044717105642714,0.3773509406044009,0.1327628511839038,0.8881118881118881,143,3.1,4.1,1.9,5.0,5.7,2.1,4.1,1.0,2.2,0.9,0.6,0.7
collect_all_size7_comp0.2_grid8_base_medium,7,0.2,8,medium,base,base,collect_all,4,5,5,5,3,4,13,1,1,1,1,1,10,0,0,10,2.0,1.0,14.6,0.9315068493150684,0.8979591836734694,0.9444444444444444,0.9534883720930233,0.9076610644257703,0.7508640701153428,0.5238095238095238,0.2680454324586632,0.18472479901051328,0.9315068493150684,146,0.4,4.3,5.4,4.3,4.8,3.1,3.3,2.0,2.6,2.0,1.2,0.2
collect_all_size7_comp0.2_grid9_base_medium,7,0.2,9,medium,base,base,collect_all,5,6,3,3,6,3,11,1,1,1,1,1,10,0,0,10,2.0,1.0,13.2,0.8863636363636364,0.9803921568627451,0.868421052631579,0.7906976744186046,0.8477461753932343,0.4593918292372826,0.5,0.481224030103067,0.16911552499787794,0.8863636363636364,132,4.6,3.4,1.3,3.4,6.4,1.6,1.9,1.3,2.3,1.3,1.7,0.3
collect_all_size7_comp0.4_grid0_base_medium,7,0.4,0,medium,base,base,collect_all,6,3,3,3,7,4,13,1,1,1,1,1,10,0,0,10,2.0,1.0,15.4,0.9090909090909091,0.875,0.8857142857142857,0.9367088607594937,0.853080065359477,0.5014696214459478,0.3333333333333333,0.21104261531687454,0.16865800865800865,0.9090909090909091,154,2.6,6.7,2.4,3.5,4.6,3.6,3.4,2.4,4.8,2.4,2.7,0.2
collect_all_size7_comp0.4_grid1_base_medium,7,0.4,1,medium,base,base,collect_all,5,5,4,4,7,3,12,1,1,1,1,1,10,0,0,10,2.0,1.0,18.2,0.8131868131868132,0.8888888888888888,0.9090909090909091,0.6933333333333334,0.6770372591916541,0.8090378066788635,0.2777777777777778,0.4276268421642801,0.21045397957162665,0.8131868131868132,182,4.9,2.5,6.5,4.3,7.3,4.9,1.6,3.4,5.4,3.1,2.5,1.0
