trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
9,4,collect_all_size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,1,1,1,0,7,-1,0,22,0.0,0.7272727272727273,0.75,0.7142857142857143,0.0,3,8,8,3,7,3,8,3,6,2,0,1,0.045454545454545456
0,5,collect_all_size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,1,2,1,1,18,8,1,22,0.9090909090909091,0.9545454545454546,0.8888888888888888,1.0,1.0,4,8,5,5,12,5,4,0,0,0,0,0,0.0
1,5,collect_all_size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,1,2,1,1,22,12,1,26,0.7692307692307693,0.8461538461538461,0.6923076923076923,1.0,1.0,7,9,5,5,13,6,4,2,4,1,0,2,0.07692307692307693
2,5,collect_all_size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,1,2,1,1,18,8,1,22,0.9090909090909091,0.9545454545454546,0.8888888888888888,1.0,1.0,4,8,5,5,8,7,6,0,1,0,0,0,0.0
3,5,collect_all_size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,1,2,1,1,18,8,1,22,0.9090909090909091,0.9545454545454546,0.8888888888888888,1.0,1.0,4,8,5,5,11,6,4,0,4,0,1,0,0.0
4,5,collect_all_size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,1,2,1,1,2,12,1,26,0.7692307692307693,0.9615384615384616,1.0,1.0,0.9230769230769231,5,9,6,6,12,6,4,3,8,3,2,0,0.0
5,5,collect_all_size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,1,2,1,1,18,8,1,22,0.9090909090909091,0.9545454545454546,0.8888888888888888,1.0,1.0,4,8,5,5,11,4,5,1,3,1,1,0,0.0
6,5,collect_all_size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,1,2,1,1,18,8,1,22,0.9090909090909091,0.9545454545454546,0.8888888888888888,1.0,1.0,4,8,5,5,10,5,4,2,2,2,0,0,0.0
7,5,collect_all_size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,1,2,1,1,16,6,1,20,1.0,1.0,1.0,1.0,1.0,3,7,5,5,4,8,7,0,2,0,0,0,0.0
8,5,collect_all_size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,1,2,1,1,20,8,1,26,0.7692307692307693,0.8846153846153846,0.8888888888888888,0.9166666666666666,0.8,6,10,5,5,13,2,6,4,4,4,0,0,0.0
9,5,collect_all_size11_comp0.0_grid5_base_medium,11,0.0,medium,base,base,collect_all,3,7,10,10,3,11,20,1,1,1,1,1,1,2,1,1,20,10,1,24,0.8333333333333334,0.9166666666666666,0.8181818181818182,1.0,1.0,5,9,5,5,10,6,5,2,2,2,0,0,0.0
0,6,collect_all_size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,collect_all,12,3,9,9,4,5,16,1,1,1,1,1,1,2,1,1,15,4,1,20,0.8,0.9,0.8,0.9090909090909091,1.0,3,8,6,3,6,5,5,3,4,3,2,0,0.0
1,6,collect_all_size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,collect_all,12,3,9,9,4,5,16,1,1,1,1,1,1,2,1,1,19,4,1,28,0.5714285714285714,0.7857142857142857,0.8,0.8,0.75,7,12,6,3,8,4,8,7,10,7,4,0,0.0
2,6,collect_all_size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,collect_all,12,3,9,9,4,5,16,1,1,1,1,1,1,2,1,1,17,4,1,24,0.6666666666666666,0.8333333333333334,0.8,0.8461538461538461,0.8333333333333334,5,10,6,3,7,6,5,5,7,5,2,0,0.0
3,6,collect_all_size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,collect_all,12,3,9,9,4,5,16,1,1,1,1,1,1,2,1,1,17,4,1,24,0.6666666666666666,0.8333333333333334,0.8,0.8461538461538461,0.8333333333333334,4,9,7,4,5,6,9,3,5,3,0,0,0.0
4,6,collect_all_size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,collect_all,12,3,9,9,4,5,16,1,1,1,1,1,1,2,1,1,15,2,1,22,0.7272727272727273,0.8636363636363636,1.0,0.8461538461538461,0.8333333333333334,1,6,9,6,11,2,4,4,5,4,2,0,0.0
5,6,collect_all_size11_comp0.0_grid6_base_medium,11,0.0,medium,base,base,collect_all,12,3,9,9,4,5,16,1,1,1,1,1,1,2,1,1,19,4,1,24,0.6666666666666666,0.8333333333333334,0.8,0.8,1.0,5,10,6,3,10,4,4,5,7,5,1,0,0.0
