grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,num_trajectories,num_trajectories_0_coins,num_trajectories_1_coin,num_trajectories_2_coins,mean_coins_collected,success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_action_accuracy_phase3,spl,mean_entropy,mean_optimal_entropy,mean_jsd,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
collect_all_size7_comp0.0_grid2_base_low,7,0.0,2,low,base,base,collect_all,4,5,3,3,7,4,11,1,1,1,1,1,10,0,0,10,2.0,1.0,19.7,0.7614213197969543,0.7567567567567568,0.7058823529411765,0.8363636363636363,0.6271871817552932,1.216669881466271,0.65,0.36500539251040115,0.06057066299713357,0.7614213197969543,197,7.7,4.2,3.8,4.0,6.6,5.2,3.2,3.7,6.6,3.6,0.8,1.5
collect_all_size7_comp0.0_grid3_base_low,7,0.0,3,low,base,base,collect_all,4,3,7,7,3,4,13,1,1,1,1,1,10,0,0,10,2.0,1.0,22.8,0.7763157894736842,0.7236842105263158,0.8113207547169812,0.782608695652174,0.6080705235310498,1.153438157092341,0.6363636363636364,0.3193800063101318,0.19788464791455218,0.7763157894736842,228,3.8,7.5,3.8,7.7,7.3,4.4,5.7,4.4,8.9,4.2,2.3,1.6
collect_all_size7_comp0.0_grid4_base_low,7,0.0,4,low,base,base,collect_all,5,3,4,4,3,5,10,1,1,1,1,1,10,0,0,10,2.0,1.0,17.2,0.8197674418604651,0.8461538461538461,0.9148936170212766,0.7397260273972602,0.5997145828028181,0.8890243834430169,0.6111111111111112,0.3550195435516135,0.17894895590974025,0.8197674418604651,172,6.6,3.4,4.1,3.1,4.3,4.6,3.8,3.5,5.5,3.4,2.1,0.6
collect_all_size7_comp0.0_grid5_base_low,7,0.0,5,low,base,base,collect_all,6,3,3,3,5,6,11,1,1,1,1,1,10,0,0,10,2.0,1.0,15.3,0.8496732026143791,0.8222222222222222,0.8409090909090909,0.875,0.7411303900777585,0.7836405820827113,0.7222222222222222,0.33409200187254096,0.18464806798140124,0.8496732026143791,153,2.2,5.3,2.9,4.9,5.1,3.7,3.1,2.4,3.0,2.3,0.6,0.3
collect_all_size7_comp0.0_grid6_base_low,7,0.0,6,low,base,base,collect_all,4,6,4,4,3,3,11,1,1,1,1,1,10,2,0,8,1.6,0.8,11.5,0.9304347826086956,0.9387755102040817,0.9,0.9615384615384616,0.6616239316239316,0.8900593230322931,0.5555555555555556,0.29858550834736897,0.2583012666345999,0.9304347826086956,115,4.3,2.2,3.0,2.0,3.5,2.7,3.3,1.0,1.7,1.0,0.8,0.1
collect_all_size7_comp0.0_grid7_base_low,7,0.0,7,low,base,base,collect_all,6,3,3,3,4,5,10,1,1,1,1,1,10,0,0,10,2.0,1.0,14.4,0.8333333333333334,0.7692307692307693,0.8260869565217391,0.9130434782608695,0.7465478220273617,0.5758876749018957,0.6,0.3561260759885201,0.23563131313131316,0.8333333333333334,144,5.4,4.4,3.8,0.8,6.1,1.9,3.5,1.9,3.0,1.8,1.1,0.4
collect_all_size7_comp0.0_grid8_base_low,7,0.0,8,low,base,base,collect_all,3,4,3,3,4,3,9,1,1,1,1,1,10,0,0,10,2.0,1.0,16.3,0.8098159509202454,1.0,0.7872340425531915,0.7341772151898734,0.6672797202797203,1.0815955417539438,0.6666666666666666,0.3428069678603125,0.22070554717613539,0.8098159509202454,163,4.1,5.1,4.7,2.4,4.2,3.4,4.6,3.1,6.1,3.1,2.3,0.3
collect_all_size7_comp0.0_grid9_base_low,7,0.0,9,low,base,base,collect_all,4,3,7,7,5,4,15,1,1,1,1,1,10,0,0,10,2.0,1.0,23.3,0.8025751072961373,0.746268656716418,0.9166666666666666,0.7317073170731707,0.689234787736605,1.1181950778401721,0.75,0.36371768127257903,0.16357327721298312,0.8025751072961373,233,8.6,5.9,5.8,2.9,7.7,4.6,5.1,4.7,8.9,4.6,2.0,0.8
collect_all_size7_comp0.2_grid0_base_low,7,0.2,0,low,base,base,collect_all,3,6,3,3,4,3,9,1,1,1,1,1,10,0,0,10,2.0,1.0,15.0,0.6733333333333333,0.6557377049180327,0.9393939393939394,0.5357142857142857,0.6357533256217467,0.6861121496863376,0.6389975000480771,0.46765053832895614,0.1598579198579199,0.6733333333333333,150,3.4,3.4,1.8,6.4,5.5,3.0,4.4,1.1,5.0,1.1,1.3,3.8
collect_all_size7_comp0.2_grid1_base_low,7,0.2,1,low,base,base,collect_all,5,4,3,3,3,6,10,1,1,1,1,1,10,0,0,10,2.0,0.9,27.2,0.6066176470588235,0.6216216216216216,0.5476190476190477,0.6493506493506493,0.3992233945026299,1.2810677876653467,0.45,0.3621469942785896,0.11236221578932576,0.6066176470588235,272,8.5,6.8,5.0,6.9,7.5,6.6,5.9,6.2,14.3,5.1,3.7,5.8
