trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
1,4,size7_comp0.4_grid4_base_low,7,0.4,low,base,base,7,4,11,5,4,1,1,1,1,0,-1,9,0.0,0.5555555555555556,0.5555555555555556,0.0,3,1,1,4,1,4,3,0,2,0,0,2,0.2222222222222222,UL,1.0,1,1,0,0,7,0.5,0.5,0.0,0.0,0.7777777777777778,,0.0,0.0,0.0,0.0,0,ul,ur,dr,1,0,0,0,0
2,4,size7_comp0.4_grid4_base_low,7,0.4,low,base,base,7,4,11,5,4,1,1,1,1,0,-1,9,0.0,0.5555555555555556,0.5555555555555556,0.0,2,3,0,4,2,1,4,1,3,1,0,2,0.2222222222222222,UL,0.6500224216483541,5,1,0,0,3,0.8333333333333334,0.16666666666666666,0.0,0.0,0.3333333333333333,UL,0.1111111111111111,0.0,0.0,0.0,1,ul,ur,dr,1,0,0,0,0
3,4,size7_comp0.4_grid4_base_low,7,0.4,low,base,base,7,4,11,5,4,1,1,1,1,0,-1,9,0.0,0.5555555555555556,0.5555555555555556,0.0,2,2,1,4,2,1,3,2,4,2,0,2,0.2222222222222222,UL,0.5435644431995964,7,1,0,0,1,0.875,0.125,0.0,0.0,0.1111111111111111,UL,0.2222222222222222,0.0,0.0,0.0,1,ul,ur,dr,1,0,0,0,0
4,4,size7_comp0.4_grid4_base_low,7,0.4,low,base,base,7,4,11,5,4,1,1,1,1,0,-1,27,0.0,0.5185185185185185,0.5185185185185185,0.0,9,9,3,6,3,4,7,12,19,12,0,2,0.07407407407407407,UL,0.7219280948873623,12,3,0,0,12,0.8,0.2,0.0,0.0,0.4444444444444444,UL,0.07407407407407407,0.0,0.0,0.0,1,ul,ur,dr,1,0,0,0,0
5,4,size7_comp0.4_grid4_base_low,7,0.4,low,base,base,7,4,11,5,4,1,1,1,1,0,-1,29,0.0,0.3793103448275862,0.3793103448275862,0.0,7,7,5,10,4,5,8,11,20,7,0,10,0.3448275862068966,UL,0.6840384356390417,18,4,0,0,7,0.8181818181818182,0.18181818181818182,0.0,0.0,0.2413793103448276,UL,0.06896551724137931,0.0,0.0,0.0,1,ul,ur,dr,1,0,0,0,0
6,4,size7_comp0.4_grid4_base_low,7,0.4,low,base,base,7,4,11,5,4,1,1,1,1,0,-1,14,0.0,0.42857142857142855,0.42857142857142855,0.0,3,2,4,5,3,1,5,4,7,1,0,5,0.35714285714285715,UL,0.7219280948873623,8,2,0,0,4,0.8,0.2,0.0,0.0,0.2857142857142857,UL,0.14285714285714285,0.0,0.0,0.0,1,ul,ur,dr,1,0,0,0,0
7,4,size7_comp0.4_grid4_base_low,7,0.4,low,base,base,7,4,11,5,4,1,1,1,1,0,-1,10,0.0,0.6,0.6,0.0,2,2,1,5,0,3,4,2,3,2,0,1,0.1,UL,0.8112781244591328,6,2,0,0,2,0.75,0.25,0.0,0.0,0.2,UL,0.2,0.0,0.0,0.0,1,ul,ur,dr,1,0,0,0,0
8,4,size7_comp0.4_grid4_base_low,7,0.4,low,base,base,7,4,11,5,4,1,1,1,1,0,-1,18,0.0,0.4444444444444444,0.4444444444444444,0.0,5,5,2,6,1,3,8,5,11,4,0,5,0.2777777777777778,UL,0.37123232664087563,13,1,0,0,4,0.9285714285714286,0.07142857142857142,0.0,0.0,0.2222222222222222,UL,0.16666666666666666,0.0,0.0,0.0,1,ul,ur,dr,1,0,0,0,0
9,4,size7_comp0.4_grid4_base_low,7,0.4,low,base,base,7,4,11,5,4,1,1,1,1,0,-1,20,0.0,0.4,0.4,0.0,5,7,2,6,4,3,4,8,15,6,0,7,0.35,UL,0.2974722489192896,18,1,0,0,1,0.9473684210526315,0.05263157894736842,0.0,0.0,0.05,UL,0.25,0.0,0.0,0.0,1,ul,ur,dr,1,0,0,0,0
0,5,size7_comp0.4_grid5_base_low,7,0.4,low,base,base,3,6,9,5,2,1,1,1,1,0,-1,15,0.0,0.4,0.4,0.0,3,6,3,3,5,0,4,5,6,5,0,0,0.0,UR,1.5219280948873621,1,2,0,2,10,0.2,0.4,0.0,0.4,0.6666666666666666,,0.0,0.0,0.0,0.0,0,ul,dl,ur,0,1,0,0,0
